Symbol,Name,Index,Description,Category,Provider
TZD,iShares S&P Target Date 2010,S&P Target Date 2010 Index,The Index seeks to represent investment opportunity generally available in target date funds through an asset allocation which targets retirement horizon on or around 2010.,Target Retirement Date,iShares
TZG,iShares S&P Target Date 2020 ETF,S&P Target Date 2020 Index,The Index seeks to represent investment opportunity generally available in target date funds through an asset allocation which targets retirement horizon on or around 2020.,Target Retirement Date,iShares
TZI,iShares S&P Target Date 2025 ETF,S&P Target Date 2025 Index,The Index seeks to represent investment opportunity generally available in target date funds through an asset allocation which targets retirement horizon on or around 2025.,Target Retirement Date,iShares
TZL,iShares S&P Target Date 2030,S&P Target Date 2030 Index,The Index seeks to represent investment opportunity generally available in target date funds through an asset allocation which targets retirement horizon on or around 2030.,Target Retirement Date,iShares
TZO,iShares S&P Target Date 2035,S&P Target Date 2035 Index,The Index seeks to represent investment opportunity generally available in target date funds through an asset allocation which targets retirement horizon on or around 2035.,Target Retirement Date,iShares
TZV,iShares S&P Target Date 2040,S&P Target Date 2040 Index,The Index seeks to represent investment opportunity generally available in target date funds through an asset allocation which targets retirement horizon on or around 2040.,Target Retirement Date,iShares
UAG,E-TRACS UBS Bloomberg CMCI Agric ETN,UBS Bloomberg CMCI Agriculture Index Total Return,The CMCI Agriculture TR measures the collateralized returns from a basket of 10 futures contracts representing the agricultural sector. The commodity futures contracts are diversified across three constant maturities from three months up to one year.,Agricultural Commodities,UBS
UBC,E-TRACS UBS Bloomberg CMCI Livestock ETN,UBS Bloomberg CMCI Livestock Index Total Return,The CMCI Livestock TR measures the collateralized returns from a basket of futures contracts representing the livestock sector. The commodity futures contracts are diversified across two constant maturities of three months and six months.,Agricultural Commodities,UBS
UBD,Claymore U.S. Capital Markets Bond ETF,Capital Markets Bond Index,"Securities eligible for inclusion in the Index, as determined by Dorchester Capital Management LLC, the Fund's index provider, are long-term fixed-income securities (defined as those with redemption dates greater than one year from the start of the month as determined by yield to worst calculation), including U.S. Treasury securities, U.S. federal agency and other government sponsored entities' fixed-income securities, investment-grade U.S. corporate fixed income securities and U.S. agency mortgage pass-through securities such as those issued by the Government National Mortgage Association (",Total Bond Market,Claymore
UBG,E-TRACS UBS Bloomberg CMCI Gold ETN,UBS Bloomberg CMCI Gold Total Return,The CMCI Gold TR measures the collateralized returns from a basket of gold futures contracts. The commodity futures contracts are diversified across five constant maturities from three months up to three years.,Precious Metals,UBS
UBM,E-TRACS UBS Bloomberg CMCI Ind Metal ETN,UBS Bloomberg CMCI Industrial Metals Index Total Return,The CMCI Industrial Metals TR measures the collateralized returns from a basket of five futures contracts representing the industrial metals sector. The commodity futures contracts are diversified across five constant maturities from three months up to three years.,Metals,UBS
UBN,E-TRACS UBS Bloomberg CMCI Energy ETN,UBS Bloomberg CMCI Energy Index Total Return,The CMCI Energy TR measures the collateralized returns from a basket of seven futures contracts representing the energy sector. The commodity futures contracts are diversified across five constant maturities from three months up to three years.,Oil & Gas,UBS
UBR,Ultra MSCI Brazil,MSCI Brazil Index (200%),The index measures the performance of the Brazilian equity market.,Leveraged Equities,ProShares
UBT,ProShares Ultra 20+ Year Treasury,Barclays Capital U.S. 20+ Year Treasury Index (200%),The index measures the performance of U.S. Treasury securities that have a remaining maturity of at least 20 years.,Leveraged Bonds,ProShares
UCC,ProShares Ultra Consumer Services,Dow Jones U.S. Consumer Services Index (200%),"ProShares Ultra Consumer Services seeks daily investment results, before fees and expenses, that correspond to twice (200%) the daily performance of the Dow Jones U.S. Consumer Services Index.",Leveraged Equities,ProShares
UCD,ProShares Ultra DJ-AIG Commodity,Dow Jones-UBS Commodity Index (200%),"ProShares Ultra DJ-UBS Commodity seeks daily investment results, before fees and expenses, that correspond to twice (200%) the daily performance of the Dow Jones",Leveraged Commodities,ProShares
UCI,E-TRACS UBS Bloomberg CMCI ETN,UBS Bloomberg Constant Maturity Commodity Index Total Return,"The CMCI is the first benchmark commodity index to diversify across both commodities and maturities. The CMCI TR measures the collateralized returns from a basket of 26 commodity futures contracts representing the energy, precious metals, industrial metals, agricultural and livestock sectors. In addition, the commodity futures contracts are diversified across five constant maturities from three months up to three years.",Commodities,UBS
UCO,ProShares Ultra DJ-AIG Crude Oil,Dow Jones-UBS Crude Oil Sub-Index (200%),"ProShares Ultra DJ-UBS Crude Oil seeks daily investment results, before fees and expenses, that correspond to twice (200%) the daily performance of the Dow Jones",Leveraged Commodities,ProShares
UDN,PowerShares DB USD Index Bearish,Deutsche Bank Short US Dollar Index (USDX) Futures Index,"The Index is a rules-based index composed solely of short USDX futures contracts. The USDX futures contract is designed to replicate the performance of being short the US Dollar against the following currencies: Euro, Japanese Yen, British Pound, Canadian Dollar, Swedish Krona and Swiss Franc.",Currency,Invesco PowerShares
UDOW,UltraPro Dow30,Dow Jones Industrial Average (300%),"The Dow Jones Industrial Average is a price-weighted index of 30 ""blue-chip"" U.S. stocks. It is the oldest continuing U.S. market index.",Leveraged Equities,ProShares
UEM,Claymore U.S.-1 -- The Capital Markets Index ETF,n/a,This ETF is not linked to a specific benchmark.,Diversified Portfolio,Claymore
UGA,United States Gasoline Fund LP,Gasoline,"The investment objective of UGA is for the changes in percentage terms of the units' net asset value to reflect the changes in percentage terms of the price of gasoline as measured by the futures contract on unleaded gasoline traded on the New York Mercantile Exchange that is the near month contract to expire, except when the near month contract is within two weeks of expiration, in which case it will invest in the next month to expire, less UGA's expenses.",Oil & Gas,US Commodity Funds
UGE,ProShares Ultra Consumer Goods,Dow Jones U.S. Consumer Goods Index (200%),"ProShares Ultra Consumer Goods seeks daily investment results, before fees and expenses, that correspond to twice (200%) the daily performance of the Dow Jones U.S. Consumer Goods Index.",Leveraged Equities,ProShares
UGL,ProShares Ultra Gold,Gold bullion (200%),"ProShares Ultra Gold seeks daily investment results, before fees and expenses, that correspond to twice (200%) the daily performance of gold bullion as measured by the U.S. Dollar p.m. fixing price for delivery in London.",Leveraged Commodities,ProShares
UHN,United States Heating Oil Fund LP,Heating oil,"The investment objective of UHN is for the changes in percentage terms of the units' net asset value to reflect the changes in percentage terms of the price of heating oil as measured by the futures contract on heating oil traded on the New York Mercantile Exchange that is the near month contract to expire, except when the near month contract is within two weeks of expiration, in which case it will invest in the next month to expire, less UHN's expenses.",Oil & Gas,US Commodity Funds
UKF,ProShares Ultra Russell1000 Growth,Russell 1000 Growth Index (200%),"ProShares Ultra Russell 1000 Growth seeks daily investment results, before fees and expenses, that correspond to twice (200%) the daily performance of the Russell 1000 Growth Index.",Leveraged Equities,ProShares
UKK,ProShares Ultra Russell2000 Growth,Russell 2000 Growth Index (200%),"ProShares Ultra Russell 2000 Growth seeks daily investment results, before fees and expenses, that correspond to twice (200%) the daily performance of the Russell 2000 Growth Index",Leveraged Equities,ProShares
UKW,ProShares Ultra Russell MidCap Growth,Russell MidCap Growth Index (200%),"ProShares Ultra Russell MidCap Growth seeks daily investment results, before fees and expenses, that correspond to twice (200%) the daily performance of the Russell MidCap Growth Index.",Leveraged Equities,ProShares
ULE,ProShares Ultra Euro,Euro (200%),"ProShares Ultra Euro seeks daily investment results, before fees and expenses, that correspond to twice (200%) the U.S. Dollar price of the Euro.",Leveraged Currency,ProShares
ULQ,Claymore U.S. Capital Markets Micro-Term Fixed Income ETF,Capital Markets Liquidity Index,"The Index includes micro-term U.S. Treasury fixed income securities, micro-term U.S. federal agency and other government sponsored entities fixed income securities, micro-term investment grade U.S. corporate fixed income securities, commercial paper, bankers acceptances, large time deposits, and U.S. federal agency discount notes. The Index may also include U.S. registered, dollar-denominated bonds of foreign corporations, governments, agencies and supra-national agencies.",Money Market,Claymore
UMDD,UltraPro MidCap400,S&P MidCap 400 Index (300%),The index measures the performance of the mid capitalization sector of the U.S. equity market.,Leveraged Equities,ProShares
UMM,MacroShares Major Metro Housing Up Trust,n/a,This ETF is not linked to a specific benchmark.,Leveraged Real Estate,MacroMarkets
UMX,Ultra MSCI Mexico Investable Market,MSCI Mexico Investable Market Index (200%),The index measures the performance of the Mexican equity market.,Leveraged Equities,ProShares
UNG,United States Natural Gas Fund LP,Natural gas,"The investment objective of UNG is for the changes in percentage terms of the units' net asset value to reflect the changes in percentage terms of the price of natural gas, as measured by the futures contract on natural gas traded on the New York Mercantile Exchange that is the near month contract to expire, except when the near month contract is within two weeks of expiration, in which case it will invest in the next month to expire, less UNG's expenses.",Oil & Gas,US Commodity Funds
UNL,United States 12 Month Natural Gas Fund,Natural gas,"The investment objective of UNG is for the changes in percentage terms of the units' net asset value to reflect the changes in percentage terms of the price of natural gas, as measured by the futures contract on natural gas traded on the New York Mercantile Exchange that is the near month contract to expire, except when the near month contract is within two weeks of expiration, in which case it will invest in the next month to expire, less UNG's expenses.",Oil & Gas,US Commodity Funds
UOY,MacroShares $100 Oil Up,n/a,This ETF is not linked to a specific benchmark.,Oil & Gas,MacroMarkets
UPRO,ProShares UltraPro S&P 500,S&P 500 Index (300%),"ProShares UltraPro S&P500 seeks daily investment results, before fees and expenses, that correspond to triple (300%) the daily performance of the S&P 500.",Leveraged Equities,ProShares
UPV,Ultra MSCI Europe,MSCI Europe Index (200%),"The index is made up of common stocks of companies located in 16 European countries. The countries with the largest capitalization weightings in the index are the United Kingdom, France, Switzerland, and Germany; others represented are Austria, Belgium, Denmark, Finland, Greece, Ireland, Italy, the Netherlands, Norway, Portugal, Spain, and Sweden.",Leveraged Equities,ProShares
UPW,ProShares Ultra Utilities,Dow Jones U.S. Utilities Index (200%),"ProShares Ultra Utilities seeks daily investment results, before fees and expenses, that correspond to twice (200%) the daily performance of the Dow Jones U.S. Utilities Index.",Leveraged Equities,ProShares
URE,ProShares Ultra Real Estate,Dow Jones U.S. Real Estate Index (200%),"ProShares Ultra Real Estate seeks daily investment results, before fees and expenses, that correspond to twice (200%) the daily performance of the Dow Jones U.S. Real Estate Index",Leveraged Real Estate,ProShares
URR,Market Vectors-Double Long Euro ETN,Double Long Euro Index,"As the Index is two-times leveraged, for every 1% strengthening of the euro relative to the U.S. dollar, the level of the Index will generally increase by 2%, while for every 1% weakening of the euro relative to the U.S. dollar, the Index will generally decrease by 2%.",Leveraged Currency,Van Eck
URTY,UltraPro Russell2000,Russell 2000 Index (300%),"The Russell 2000 Index measures the performance of the small-cap segment of the U.S. equity universe and is comprised of the smallest 2000 companies in the Russell 3000 Index, representing approximately 10% of the total market capitalization of that Index. It includes approximately 2000 of the smallest securities based on a combination of their market cap and current index membership.",Leveraged Equities,ProShares
USD,ProShares Ultra Semiconductors,Dow Jones U.S. Semiconductors Index (200%),"ProShares Ultra Semiconductors seeks daily investment results, before fees and expenses, that correspond to twice (200%) the daily performance of the Dow Jones U.S. Semiconductors Index.",Leveraged Equities,ProShares
USL,United States 12 Month Oil,"Light, sweet crude oil delivered to Cushing, Oklahoma","The investment objective of USL is to have the changes in percentage terms of the units' net asset value reflect the changes in percentage terms of the price of light, sweet crude oil, as measured by the changes in the average of the prices of 12 futures contracts on crude oil traded on the New York Mercantile Exchange, consisting of the near month contract to expire and the contracts for the following eleven months, for a total of 12 consecutive months' contracts, except when the near month contract is within two weeks of expiration, in which case it will be measured by the futures contracts that are the next month contract to expire and the contracts for the following eleven consecutive months, less USL's expenses.",Oil & Gas,US Commodity Funds
USO,United States Oil Fund,"Light, sweet crude oil","The investment objective of USO is for changes in percentage terms of the units' net asset value to reflect the changes in percentage terms of the spot price of light, sweet crude oil, as measured by the changes in price of the futures contract on light, sweet crude oil traded on the New York Mercantile Exchange that is the near month contract to expire, less USO's expenses.",Oil & Gas,US Commodity Funds
UST,ProShares Ultra 7-10 Year Treasury,Barclays Capital U.S. 7-10 Year Treasury Index (200%),The index measures the performance of U.S. Treasury securities that have a remaining maturity of at least seven years and less than 10 years.,Leveraged Bonds,ProShares
USV,E-TRACS UBS Bloomberg CMCI Silver ETN,UBS Bloomberg CMCI Silver Total Return,The CMCI Silver TR measures the collateralized returns from a basket of silver futures contracts. The commodity futures contracts are diversified across five constant maturities from three months up to three years.,Precious Metals,UBS
USY,WisdomTree U.S. Current Income,n/a,This ETF is not linked to a specific benchmark.,Money Market,Wisdom Tree
UTH,HOLDRS Merrill Lynch Utilities,n/a,This ETF is not linked to a specific benchmark.,Utilities Equities,Merrill Lynch HOLDRs
UUP,PowerShares DB USD Index Bullish,Deutsche Bank Long US Dollar Index (USDX) Futures Index,"The Index is a rules-based index composed solely of long USDX futures contracts. The USDX futures contract is designed to replicate the performance of being long the US Dollar against the following currencies: Euro, Japanese Yen, British Pound, Canadian Dollar, Swedish Krona and Swiss Franc.",Currency,Invesco PowerShares
UVG,ProShares Ultra Russell1000 Value,Russell 1000 Value Index (200%),"ProShares Ultra Russell 1000 Value seeks daily investment results, before fees and expenses, that correspond to twice (200%) the daily performance of the Russell 1000 Value Index.",Leveraged Equities,ProShares
UVT,ProShares Ultra Russell2000 Value,Russell 2000 Value Index (200%),"ProShares Ultra Russell 2000 Value seeks daily investment results, before fees and expenses, that correspond to twice (200%) the daily performance of the Russell 2000 Value Index.",Leveraged Equities,ProShares
UVU,ProShares Ultra Russell MidCap Value,Russell MidCap Value Index (200%),"ProShares Ultra Russell MidCap Value seeks daily investment results, before fees and expenses, that correspond to twice (200%) the daily performance of the Russell MidCap Value Index.",Leveraged Equities,ProShares
UWC,ProShares Ultra Russell3000,Russell 3000 Index (200%),"ProShares Ultra Russell3000 seeks daily investment results, before fees and expenses, that correspond to twice (200%) the daily performance of the Russell 3000 Index.",Leveraged Equities,ProShares
UWM,ProShares Ultra Russell2000,Russell 2000 Index (200%),"The Russell 2000 Index measures the performance of the small-cap segment of the U.S. equity universe and is comprised of the smallest 2000 companies in the Russell 3000 Index, representing approximately 10% of the total market capitalization of that Index. It includes approximately 2000 of the smallest securities based on a combination of their market cap and current index membership.",Leveraged Equities,ProShares
UXI,ProShares Ultra Industrials,Dow Jones U.S. Industrials Index (200%),The index measures the performance of the industrial sector of the U.S. equity market.,Leveraged Equities,ProShares
UXJ,Ultra MSCI Pacific ex-Japan,MSCI Pacific ex-Japan Index (200%),"The index measures the performance of the Australian, Hong Kong, New Zealand, and Singapore equity markets.",Leveraged Equities,ProShares
UYG,ProShares Ultra Financials,Dow Jones U.S. Financials Index (200%),"ProShares Ultra Financials seeks daily investment results, before fees and expenses, that correspond to twice (200%) the daily performance of the Dow Jones U.S. Financials Index.",Leveraged Equities,ProShares
UYM,ProShares Ultra Basic Materials,Dow Jones U.S. Basic Materials Index (200%),"ProShares Ultra Basic Materials seeks daily investment results, before fees and expenses, that correspond to twice (200%) the daily performance of the Dow Jones U.S. Basic Materials Index.",Leveraged Equities,ProShares
VAW,Vanguard Materials ETF - DNQ,MSCI US Investable Market Materials Index,"The index consists of stocks of large, medium, and small U.S. companies in the materials sector. This sector is made up of companies in a wide range of commodity-related manufacturing industries. Included within this sector are companies that manufacture chemicals, construction materials, glass, paper, forest products, and related packaging products, as well as metals, minerals, and mining companies, including producers of steel.",Materials,Vanguard
VB,Vanguard Small-Cap ETF - DNQ,MSCI US Small Cap 1750 Index,The MSCI US Small Cap 1750 Index represents the universe of small-capitalization companies in the U.S. equity market.,Small Cap Blend Equities,Vanguard
VBK,Vanguard Small-Cap Growth ETF - DNQ,MSCI US Small Cap Growth Index,The MSCI US Small Cap Growth Index represents the growth companies of the MSCI US Small Cap 1750 Index. (The MSCI US Small Cap 1750 Index represents the universe of small-capitalization companies in the U.S. equity market.),Small Cap Growth Equities,Vanguard
VBR,Vanguard Small-Cap Value ETF - DNQ,MSCI US Small Cap Value Index,The MSCI US Small Cap Value Index represents the value companies of the MSCI US Small Cap 1750 Index. (The MSCI US Small Cap 1750 Index represents the universe of small-capitalization companies in the U.S. equity market.),Small Cap Value Equities,Vanguard
VCIT,Vanguard Intermediate-Term Corporate Bond Index Fund,Barclays Capital U.S. 5-10 Year Corporate Index,"This Index includes U.S. dollar-denominated, investment-grade, fixed-rate, taxable securities issued by industrial, utility, and financial companies, with maturities between 5 and 10 years.",Corporate Bonds,Vanguard
VCLT,Vanguard Long-Term Corporate Bond Index Fund,Barclays Capital U.S. Long Corporate Index,"This index includes U.S. dollar-denominated, investment-grade, fixed-rate, taxable securities issued by industrial, utility, and financial companies, with maturities greater than 10 years.",Corporate Bonds,Vanguard
VCR,Vanguard Consumer Discretion ETF - DNQ,MSCI US Investable Market Consumer Discretionary Index,"The index consists of stocks of large, medium, and small U.S. companies in the consumer discretionary sector. This sector is made up of those manufacturing and service industries that tend to be the most sensitive to economic cycles. Its manufacturing segment includes the following industries: automotive, household durable goods, textiles and apparel, and leisure equipment. The services segment includes hotels, restaurants and other leisure facilities, media production and services, and consumer retailing.",Consumer Discretionary Equities,Vanguard
VCSH,Vanguard Short-Term Corporate Bond Index Fund,Barclays Capital U.S. 1-5 Year Corporate Index,"This Index includes U.S. dollar-denominated, investment-grade, fixed-rate, taxable securities issued by industrial, utility, and financial companies, with maturities between 1 and 5 years.",Corporate Bonds,Vanguard
VDC,Vanguard Consumer Staples ETF - DNQ,MSCI US Investable Market Consumer Staples Index,"The index consists of stocks of large, medium, and small U.S. companies in the consumer staples sector. This sector is made up of companies whose businesses are less sensitive to economic cycles. It includes manufacturers and distributors of food, beverages, and tobacco, as well as producers of nondurable household goods and personal products. It also includes food and drug retailing companies as well as hypermarkets and consumer supercenters.",Consumer Staples Equities,Vanguard
VDE,Vanguard Energy ETF,MSCI US Investable Market Energy Index,"The index consists of stocks of large, medium, and small U.S. companies in the energy sector. This sector is made up of companies whose businesses are dominated by either of the following activities: the construction or provision of oil rigs, drilling equipment, and other energy-related service and equipment (such as seismic data collection); or companies engaged in the exploration, production, marketing, refining, and/or transportation of oil and gas products.",Energy Equities,Vanguard
VEA,Vanguard Europe Pacific,MSCI EAFE Index,"The index measures the performance of equity markets in European, Australasian, and Far Eastern markets.",Foreign Large Cap Equities,Vanguard
VEU,Vanguard FTSE All World Ex US ETF,FTSE All-World ex US Index,"The index includes approximately 2,200 stocks of companies in 46 countries, from both developed and emerging markets around the world.",Global Equities,Vanguard
VFH,Vanguard Financials ETF - DNQ,MSCI US Investable Market Financials Index,"The index consists of stocks of large, medium, and small U.S. companies in the financials sector, as classified under the Global Industry Classification Standard (GICS). This GICS sector is made up of companies involved in activities such as banking, mortgage finance, consumer finance, specialized finance, investment banking and brokerage, asset management and custody, corporate lending, insurance, financial investment, and real estate (including REITs).",Financials Equities,Vanguard
VGIT,Vanguard Intermediate-Term Government Bond Index Fund,Barclays Capital U.S. 3-10 Year Government Index,"This Index includes fixed income securities issued by the U.S. Treasury (not including inflation-protected bonds) and U.S. government agencies and instrumentalities, as well as corporate or dollar-denominated foreign debt guaranteed by the U.S. government, with maturities between 3 and 10 years",Government Bonds,Vanguard
VGK,Vanguard European ETF,MSCI Europe Index,"The index is made up of common stocks of companies located in 16 European countries. The countries with the largest capitalization weightings in the index are the United Kingdom, France, Switzerland, and Germany; others represented are Austria, Belgium, Denmark, Finland, Greece, Ireland, Italy, the Netherlands, Norway, Portugal, Spain, and Sweden.",Europe Equities,Vanguard
VGLT,Vanguard Long-Term Government Bond Index Fund,Barclays Capital U.S. Long Government Index,"This Index includes fixed income securities issued by the U.S. Treasury (not including inflation-protected bonds) and U.S. government agencies and instrumentalities, as well as corporate or dollar-denominated foreign debt guaranteed by the U.S. government, with maturities greater than 10 years.",Government Bonds,Vanguard
VGSH,Vanguard Short-Term Government Bond Index Fund,Barclays Capital U.S. 1-3 Year Government Bond Index,"This Index includes fixed income securities issued by the U.S. Treasury (not including inflation-protected securities) and U.S. government agencies and instrumentalities, as well as corporate or dollar-denominated foreign debt guaranteed by the U.S. government, all with maturities between 1 and 3 years.",Government Bonds,Vanguard
VGT,Vanguard Information Tech ETF - DNQ,MSCI US Investable Market Information Technology Index,"The index consists of large, medium, and small U.S. companies in the information technology sector. This sector is made up of companies in the following three general areas: technology software and services including companies that primarily develop software in various fields (such as the Internet, applications, systems, databases, management, and/or home entertainment), and companies that provide information technology consulting and services, data processing, and outsourced services; technology hardware and equipment, including manufacturers and distributors of communications equipment, computers and peripherals, electronic equipment, and related instruments; and semiconductors and semiconductor equipment manufacturers.",Technology Equities,Vanguard
VHT,Vanguard Health Care ETF - DNQ,MSCI US Investable Market Health Care Index,"The index consists of stocks of large, medium, and small U.S. companies in the health care sector. This sector is made up of two main industry groups. The first group includes companies that manufacture health care equipment and supplies or provide health care related services (such as distributors of health care products, providers of basic healthcare services, and owners and operators of health care facilities and organizations). The second group includes companies primarily involved in the research, development, production, and marketing of pharmaceuticals and biotechnology products.",Health & Biotech Equities,Vanguard
VIG,Vanguard Div Appreciation ETF - DNQ,Dividend Achievers Select Index,This index is a subset of the Broad Dividend Achievers Index and is designed to measure the performance of U.S. common stocks that have a history of increasing dividends for at least ten consecutive years.,Large Cap Value Equities,Vanguard
VIS,Vanguard Industrials ETF - DNQ,MSCI US Investable Market Industrials Index,"The index consists of stocks of large, medium, and small U.S. companies in the industrials sector. This sector is made up of companies whose businesses are dominated by one of the following activities: the manufacture and distribution of capital goods (including aerospace and defense, construction, engineering and building products, electrical equipment, and industrial machinery); the provision of commercial services and supplies (including printing, employment, environmental, and office services); or the provision of transportation services (including airlines, couriers, marine, road and rail, and transportation infrastructure).",Industrials Equities,Vanguard
VMBS,Vanguard Mortgage-Backed Securities Index Fund,Barclays Capital U.S. MBS Index,"The index measures the performance of investment grade fixed-rate mortgage-backed pass-through securities of GNMA, FNMA, and FHLMC.",Mortgage Backed Securities,Vanguard
VNM,Market Vectors Vietnam ETF,Market Vectors Vietnam Index,"The Index provides exposure to publicly traded companies that, predominantly*, are domiciled and primarily listed in Vietnam and which generate at least 50% of their revenues from Vietnam.",Emerging Markets Equities,Van Eck
VNQ,Vanguard REIT ETF - DNQ,MSCI US REIT Index,The index is a benchmark of U.S. property trusts that covers about two-thirds of the value of the entire U.S. REIT market.,Real Estate,Vanguard
VO,Vanguard Mid-Cap ETF - DNQ,MSCI US Mid Cap 450 Index,The MSCI US Mid Cap 450 Index represents the universe of mid-capitalization companies in the U.S. equity market.,Mid Cap Blend Equities,Vanguard
VOE,Vanguard Mid-Cap Value ETF - DNQ,MSCI US Mid Cap Value Index,The MSCI US Mid Cap Value Index represents the value companies of the MSCI US Mid Cap 450 Index. (The MSCI US Mid Cap 450 Index represents the universe of mid-capitalization companies in the U.S. equity market.),Mid Cap Value Equities,Vanguard
VOT,Vanguard Mid-Cap Growth ETF - DNQ,MSCI US Mid Cap Growth Index,The MSCI US Mid Cap Growth Index represents the growth companies of the MSCI US Mid Cap 450 Index. (The MSCI US Mid Cap 450 Index represents the universe of mid-capitalization companies in the U.S. equity market.),Mid Cap Growth Equities,Vanguard
VOX,Vanguard Telecom ETF - DNQ,MSCI US Investable Market Telecommunication Services Index,"The index consists of stocks of large, medium, and small U.S. companies in the telecommunication services sector, as classified under the Global Industry Classification Standard (GICS). This GICS sector is made up of companies that provide communications services primarily through a fixed-line, cellular, wireless, high bandwidth, and/or fiber-optic cable network.",Communications Equities,Vanguard
VPL,Vanguard Pacific ETF,MSCI Pacific Index,"The index consists of common stocks of companies located in Japan, Australia, Hong Kong, Singapore, and New Zealand. The countries with the largest capitalization weightings in the index are Japan and Australia.",Asia Pacific Equities,Vanguard
VPU,Vanguard Utilities ETF - DNQ,MSCI US Investable Market Utilities Index,"The index consists of large, medium-size, and small U.S. companies in the utilities sector. This sector is made up of those companies considered electric, gas, or water utilities, or companies that operate as independent producers and/or distributors of power. The sector includes both nuclear and nonnuclear facilities.",Utilities Equities,Vanguard
VRD,SPDR S&P VRDO Municipal Bond ETF,Municipal VRDO Index,"The Municipal VRDO Index is a rules-based, market-value weighted index engineered for the municipal variable rate demand obligation bond market. To be included in the Municipal VRDO Index a security must: (i) be issued by a state (including Puerto Rico and U.S. territories) or local government or agency such that interest on the security is exempt from U.S. federal income taxes; (ii) be priced at par; (iii) have a minimum par amount of $10 million",Money Market,State Street
VSS,Vanguard FTSE All-Wld ex-US SmCp Idx ETF,FTSE Global Small Cap ex US Index,"The index includes approximately 3,300 stocks of companies in more than 46 countries, from both developed and emerging markets around the world.",Global Equities,Vanguard
VT,Vanguard Total World Stock Index ETF,FTSE All-World Index,"The Index includes approximately 2,900 stocks of companies located in 47 countries, including both developed and emerging markets.",Global Equities,Vanguard
VTI,Vanguard Total Stock Market ETF,MSCI US Broad Market Index,The index which represents 99.5% or more of the total market capitalization of all of the U.S. common stocks regularly traded on the New York and American Stock Exchanges and the Nasdaq over-the-counter market.,All Cap Equities,Vanguard
VTV,Vanguard Value ETF - DNQ,MSCI US Prime Market Value Index,The MSCI US Prime Market Value Index represents the value companies of the MSCI US Prime Market 750 Index (The MSCI US Prime Market 750 Index represents the universe of predominantly large-capitalization companies in the U.S. equity market).,Large Cap Value Equities,Vanguard
VUG,Vanguard Growth ETF - DNQ,MSCI US Prime Market Growth Index,The index is a broadly diversified index of growth stocks of predominantly large U.S. companies.,Large Cap Growth Equities,Vanguard
VV,Vanguard Large-Cap ETF - DNQ,MSCI US Prime Market 750 Index,The index is a broadly diversified index of stocks of predominantly large U.S. companies.,Large Cap Blend Equities,Vanguard
VWO,Vanguard Emerging Markets ETF,MSCI Emerging Markets Index,The index measures the performance of the emerging market stocks.,Emerging Markets Equities,Vanguard
VXF,Vanguard Extended Market ETF - DNQ,S&P Completion Index,The S&P Completion Index represents mid- and small-capitalization stocks in the U.S. equity market.,Mid Cap Blend Equities,Vanguard
VXX,iPath S&P 500 VIX Short-Term Futures ETN,S&P 500 VIX Short-Term Futures Index Total Return,The index offers exposure to a daily rolling long position in the first and second month VIX futures contracts and reflects the implied volatility of the S&P 500 Index at various points along the volatility forward curve. The index futures roll continuously throughout each month from the first month VIX futures contract into the second month VIX futures contract.,Volatility,Barclays iPath
VXZ,iPath S&P 500 VIX Mid-Term Futures ETN,S&P 500 VIX Mid-Term Futures Index Total Return,"The index offers exposure to a daily rolling long position in the fourth, fifth, sixth and seventh month VIX futures contracts and reflects the implied volatility of the S&P 500 Index at various points along the volatility forward curve. The Index futures roll continuously throughout each month from the fourth month VIX futures contract into the seventh month VIX futures contract.",Volatility,Barclays iPath
VYM,Vanguard High Dividend Yield ETF - DNQ,FTSE High Dividend Yield Index,The FTSE High Dividend Yield Index is derived from the U.S. component of the FTSE Global Equity Index Series (GEIS) and includes stocks with the highest dividend yields (excluding REITs).,Large Cap Value Equities,Vanguard
WCAT,Jefferies | TR/J CRB Wildcatters Exploration & Production Equity ETF,Thomson Reuters/Jefferies CRB Wildcatters Energy E&P Equity Index,The index measures the performance of equity securities of a universe of U.S. and Canadian listed companies engaged in the production and distribution of oil and natural gas sectors.,Energy Equities,Jefferies
WFVK,Wilshire 5000 Total Market ETF,Wilshire 5000 Total Market Index,"The index measures the performance of all U.S. equity securities with readily available price data. The index was named after the nearly 5,000 stocks it contained when it was originally created, but it has grown to include over 5,000 issues.",All Cap Equities,Claymore
WIP,SPDR DB International Government Inflation-Protected Bond ETF,DB Global Government ex-US Inflation-Linked Bond Capped Index,The DB Global Government ex-US Inflation-Linked Bond Capped Index measures the total return performance of inflation-linked government bonds from developed and emerging market countries outside of the United States.,Inflation-Protected Bonds,State Street
WMH,HOLDRS Merrill Lynch Wireless,n/a,This ETF is not linked to a specific benchmark.,Communications Equities,Merrill Lynch HOLDRs
XLB,Materials Select Sector SPDR,Materials Select Sector Index,The Materials Select Sector Index includes companies from the following industries: chemicals; metals & mining; paper & forest products; containers & packaging; and construction materials.,Materials,State Street
XLBS,S&P SmallCap Materials Portfolio,S&P SmallCap 600 Materials Index,"The Index is comprised of common stocks of U.S. basic materials companies. These are companies that are principally engaged in the business of producing raw materials, including paper or wood products, chemicals, construction materials, and mining and metals.",Materials,Invesco PowerShares
